country_name,pop,percent_world_pop,total_cases,total_deaths,total_tests,GDP_USD_Billions,percent_world_deaths,deaths_pop_ratio
China,1439323776,18.47,85578,4634,160000000,14140.16,0.42743,0.0231
India,1380004385,17.7,7172559,109881,87872093,2935.57,10.13523,0.5726
United States,331002651,4.25,8011858,219862,118911429,21439.45,20.27968,4.7717
Indonesia,273523615,3.51,336716,11935,3802093,1111.71,1.10086,0.3136
Pakistan,220892340,2.83,319317,6580,3884796,284.214,0.60693,0.2145
Brazil,212559417,2.73,5096209,150555,17900000,1847.02,13.88693,5.0868
Nigeria,206139589,2.64,60266,1115,553037,446.543,0.10285,0.039
Bangladesh,164689383,2.11,379738,5555,2084222,317.465,0.51238,0.2428
Russia,145934462,1.87,1312310,22722,51191309,1637.89,2.09584,1.1208
Mexico,128932753,1.65,817503,83781,2088941,1274.18,7.72781,4.6835
Japan,126476461,1.62,89347,1629,2306033,5154.48,0.15026,0.0928
Ethiopia,114963588,1.47,85136,1301,1356630,91.166,0.12,0.0816
Philippines,109581078,1.41,342816,6332,4168181,356.814,0.58405,0.4142
Egypt,102334404,1.31,104516,6052,135000,302.256,0.55823,0.4261
Vietnam,97338579,1.25,1110,35,1246480,261.637,0.00323,0.0026
Turkey,84339067,1.08,337147,8895,11731350,743.708,0.82046,0.7597
Germany,83783942,1.07,329510,9711,18129900,3863.34,0.89573,0.8371
Thailand,69799978,0.9,3641,59,977854,529.177,0.00544,0.006
United Kingdom,67886011,0.87,617688,42875,26987470,2743.59,3.95471,4.5456
France,65273511,0.84,743479,32779,12394558,2707.07,3.02348,3.5994
Italy,60461826,0.78,359569,36205,12650155,1988.64,3.33949,4.2814
South Africa,59308690,0.76,692471,17780,4407441,358.839,1.64,2.1579
Myanmar,54409800,0.7,29314,664,428668,65.994,0.06125,0.0875
Kenya,53771296,0.69,41619,777,593199,98.607,0.07167,0.1039
Colombia,50882891,0.65,911316,27834,4173863,327.895,2.56736,3.9498
Spain,46754778,0.6,918223,33124,14590713,1397.87,3.0553,5.0922
Uganda,45741007,0.59,9864,94,508899,30.666,0.00867,0.0147
Argentina,45195774,0.58,894206,23868,2225558,445.469,2.20154,3.7958
Ukraine,43733762,0.56,265454,5015,2602635,150.401,0.46257,0.826
Iraq,40222493,0.52,405437,9912,2507551,224.462,0.91427,1.7582
Afghanistan,38928346,0.5,39870,1479,114997,18.734,0.13642,0.2728
Poland,37846611,0.49,130210,3039,3693108,565.854,0.28031,0.5721
Canada,37742154,0.48,182708,9625,8047974,1730.91,0.88779,1.8496
Morocco,36910560,0.47,153761,2636,2897811,119.04,0.24314,0.5173
Saudi Arabia,34813871,0.45,339615,5068,7060483,779.289,0.46746,1.0388
Uzbekistan,33469203,0.43,61319,509,1377915,60.49,0.04695,0.1092
Peru,32971854,0.42,849371,33305,4077357,228.989,3.07199,7.3143
Angola,32866272,0.42,6366,218,85213,91.527,0.02011,0.0479
Malaysia,32365999,0.42,16220,159,1627612,365.303,0.01467,0.0349
Mozambique,31255435,0.4,10088,72,155202,15.093,0.00664,0.0166
Ghana,31072940,0.4,47005,306,497782,67.077,0.02822,0.0705
Nepal,29136808,0.37,111802,645,1191514,29.813,0.05949,0.1608
Venezuela,28435940,0.36,83137,697,1988486,70.14,0.06429,0.1786
Madagascar,27691018,0.36,16726,237,75210,12.55,0.02186,0.0607
Cameroon,26545863,0.34,21203,423,149000,38.632,0.03902,0.1148
Australia,25499884,0.33,27285,898,8015502,1376.26,0.08283,0.251
Niger,24206644,0.31,1201,69,28191,9.443,0.00636,0.0205
Sri Lanka,21413249,0.27,4844,13,328504,86.566,0.0012,0.0044
Mali,20250833,0.26,3286,132,60751,17.647,0.01218,0.0468
Romania,19237691,0.25,157352,5467,2682588,243.698,0.50427,2.0171
Malawi,19129952,0.25,5824,180,56034,7.522,0.0166,0.0664
Chile,19116201,0.25,482888,13379,3729159,294.237,1.23406,4.9362
Kazakhstan,18776707,0.24,108831,1746,3045439,170.326,0.16105,0.671
Zambia,18383955,0.24,15549,345,188804,23.946,0.03182,0.1326
Guatemala,17915568,0.23,97826,3387,363714,81.318,0.31241,1.3583
Ecuador,17643054,0.23,147315,12218,467328,107.914,1.12697,4.8999
Netherlands,17134872,0.22,181498,6596,2656731,902.355,0.6084,2.7655
Senegal,16743927,0.21,15292,315,189887,23.94,0.02906,0.1384
Zimbabwe,14862924,0.19,8011,230,161525,12.818,0.02121,0.1116
Guinea,13132795,0.17,11022,69,34308,13.368,0.00636,0.0374
Rwanda,12952218,0.17,4896,31,518988,10.209,0.00286,0.0168
Benin,12123200,0.16,2411,41,203831,14.374,0.00378,0.0236
Burundi,11890784,0.15,525,1,37522,3.573,9.0e-5,0.0006
Tunisia,11818619,0.15,32556,478,276002,38.732,0.04409,0.2939
Bolivia,11673021,0.15,138574,8308,314235,42.401,0.76632,5.1088
Belgium,11589623,0.15,162258,10191,3705273,517.609,0.94,6.2667
Haiti,11402528,0.15,8882,230,29115,8.819,0.02121,0.1414
South Sudan,11193725,0.14,2787,55,12044,3.681,0.00507,0.0362
Dominican Republic,10847910,0.14,118843,2179,522112,89.475,0.20099,1.4356
Greece,10423054,0.13,22652,456,1429670,214.012,0.04206,0.3235
Jordan,10203134,0.13,26073,207,1439205,44.172,0.01909,0.1468
Portugal,10196709,0.13,87913,2094,2852722,236.408,0.19315,1.4858
Azerbaijan,10139177,0.13,42104,609,1180271,47.171,0.05617,0.4321
Sweden,10099265,0.13,98451,5894,1789328,528.929,0.54365,4.1819
Honduras,9904607,0.13,84081,2512,194516,24.449,0.2317,1.7823
United Arab Emirates,9890402,0.13,107293,446,11016566,405.771,0.04114,0.3165
Hungary,9660351,0.12,38837,968,834097,170.407,0.08929,0.7441
Belarus,9449323,0.12,83998,901,2087430,62.572,0.08311,0.6926
Austria,9006398,0.12,56298,855,1822931,447.718,0.07886,0.6572
Papua New Guinea,8947024,0.11,565,7,26620,23.587,0.00065,0.0059
Serbia,8737371,0.11,34854,765,1199799,51.523,0.07056,0.6415
Israel,8655535,0.11,293553,2016,3992799,387.717,0.18595,1.6905
Switzerland,8654622,0.11,64436,2096,1506450,715.36,0.19333,1.7575
Togo,8278724,0.11,1940,49,101086,5.502,0.00452,0.0411
Paraguay,7132538,0.09,49675,1077,308443,40.714,0.09934,1.1038
Bulgaria,6948445,0.09,24402,892,573004,66.25,0.08228,0.9142
Libya,6871292,0.09,43821,644,250914,33.018,0.0594,0.66
Lebanon,6825445,0.09,54624,466,985791,58.565,0.04298,0.4776
El Salvador,6486205,0.08,30196,894,422858,26.871,0.08246,1.0308
Singapore,5850342,0.08,57880,28,3072368,362.818,0.00258,0.0322
Denmark,5792202,0.07,32811,671,4393640,347.176,0.06189,0.8841
Finland,5540720,0.07,12212,346,1190927,269.654,0.03191,0.4559
Norway,5421241,0.07,15585,276,1158338,417.627,0.02546,0.3637
Oman,5106626,0.07,106575,1046,376700,76.609,0.09648,1.3783
Costa Rica,5094118,0.07,87439,1076,257549,61.021,0.09925,1.4179
Liberia,5057681,0.06,1363,82,30332,3.222,0.00756,0.126
Ireland,4937786,0.06,43351,1827,1341474,384.94,0.16852,2.8087
New Zealand,4822233,0.06,1871,25,1002790,204.671,0.00231,0.0385
Mauritania,4649658,0.06,7550,163,82098,5.651,0.01503,0.2505
Panama,4314767,0.06,120313,2491,544735,68.536,0.22977,3.8295
Kuwait,4270571,0.05,111893,664,788705,137.591,0.06125,1.225
Croatia,4105267,0.05,20621,327,360976,60.702,0.03016,0.6032
Moldova,4033963,0.05,62618,1478,315165,11.688,0.13633,2.7266
Georgia,3989167,0.05,12272,93,706806,15.925,0.00858,0.1716
Uruguay,3473730,0.04,2294,50,264087,59.918,0.00461,0.1152
Bosnia and Herzegovina,3280819,0.04,30837,936,262637,20.106,0.08633,2.1583
Armenia,2963243,0.04,56821,1026,327163,13.444,0.09464,2.366
Jamaica,2961167,0.04,7813,146,85322,15.702,0.01347,0.3368
Qatar,2881053,0.04,128191,220,837486,191.849,0.02029,0.5072
Albania,2877797,0.04,15570,424,95199,15.418,0.03911,0.9778
Lithuania,2722289,0.03,6248,103,844742,53.641,0.0095,0.3167
Namibia,2540905,0.03,11936,128,109829,14.368,0.01181,0.3937
Botswana,2351627,0.03,3515,20,238334,18.69,0.00184,0.0613
Gabon,2225734,0.03,8835,54,198364,16.877,0.00498,0.166
Lesotho,2142249,0.03,1805,42,20909,2.741,0.00387,0.129
North Macedonia,2083374,0.03,21113,797,208669,12.672,0.07351,2.4503
Slovenia,2078938,0.03,8832,169,260111,54.154,0.01559,0.5197
Latvia,1886198,0.02,2765,40,364012,35.045,0.00369,0.1845
Bahrain,1701575,0.02,75614,278,1548011,38.184,0.02564,1.282
Equatorial Guinea,1402985,0.02,5063,83,62615,12.142,0.00766,0.383
Trinidad and Tobago,1399488,0.02,5101,90,33013,22.607,0.0083,0.415
Estonia,1326535,0.02,3883,68,233241,31.038,0.00627,0.3135
Mauritius,1271768,0.02,404,10,253248,14.391,0.00092,0.046
Cyprus,1207359,0.02,2006,25,415095,24.28,0.00231,0.1155
Eswatini,1160164,0.01,5683,113,45570,4.657,0.01042,1.042
Djibouti,988000,0.01,5423,61,79257,3.166,0.00563,0.563
Fiji,896445,0.01,32,2,11318,5.708,0.00018,0.018
Guyana,786552,0.01,3469,103,15963,4.121,0.0095,0.95
Montenegro,628066,0.01,14050,211,77484,5.424,0.01946,1.946
Luxembourg,625978,0.01,9731,133,897152,69.453,0.01227,1.227
Suriname,586632,0.01,5051,107,15620,3.774,0.00987,0.987
Cabo Verde,555987,0.01,7072,75,87076,2.013,0.00692,0.692
Maldives,540544,0.01,10894,35,150743,5.786,0.00323,0.323
Malta,441543,0.01,3844,43,282095,14.859,0.00397,0.397
Belize,397628,0.01,2531,37,17663,2.001,0.00341,0.341
