#,"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
1,United States,"8,011,858",#ERROR!,"219,862",167,"5,141,961","2,650,035","14,751","24,165",663,"118,911,429","358,656","331,547,490"
2,India,"7,172,559",#ERROR!,"109,881",697,"6,223,372","839,306","8,944","5,183",79,"87,872,093","63,501","1,383,789,657"
3,Brazil,"5,096,209",#ERROR!,"150,555",49,"4,470,165","475,489","8,318","23,928",707,"17,900,000","84,044","212,982,744"
4,Russia,"1,312,310",#ERROR!,"22,722",125,"1,024,235","265,353","2,300","8,991",156,"51,191,309","350,740","145,952,169"
5,Spain,"918,223",#ERROR!,"33,124",65,N/A,N/A,"1,546","19,637",708,"14,590,713","312,035","46,759,903"
6,Colombia,"911,316",,"27,834",,"789,787","93,695","2,220","17,857",545,"4,173,863","81,786","51,034,004"
7,Argentina,"894,206",,"23,868",,"721,380","148,958","4,237","19,735",527,"2,225,558","49,117","45,311,598"
8,Peru,"849,371",,"33,305",,"743,969","72,097","1,210","25,661","1,006","4,077,357","123,186","33,099,165"
9,Mexico,"817,503",#ERROR!,"83,781",139,"594,180","139,542","2,391","6,322",648,"2,088,941","16,154","129,310,283"
10,France,"743,479",#ERROR!,"32,779",96,"100,828","609,872","1,448","11,383",502,"12,394,558","189,768","65,314,276"
11,South Africa,"692,471",,"17,780",,"623,765","50,926",546,"11,635",299,"4,407,441","74,054","59,516,399"
12,United Kingdom,"617,688",#ERROR!,"42,875",50,N/A,N/A,442,"9,085",631,"26,987,470","396,955","67,986,204"
13,Iran,"504,281",#ERROR!,"28,816",272,"409,121","66,344","4,533","5,983",342,"4,340,831","51,498","84,291,482"
14,Chile,"482,888",#ERROR!,"13,379",61,"454,484","15,025",785,"25,200",698,"3,729,159","194,611","19,162,070"
15,Iraq,"405,437",#ERROR!,"9,912",60,"340,050","55,475",489,"10,018",245,"2,507,551","61,962","40,469,182"
16,Bangladesh,"379,738",#ERROR!,"5,555",31,"294,391","79,792",,"2,299",34,"2,084,222","12,620","165,147,049"
17,Italy,"359,569",#ERROR!,"36,205",39,"240,600","82,764",452,"5,950",599,"12,650,155","209,313","60,436,599"
18,Philippines,"342,816",#ERROR!,"6,332",11,"293,152","43,332","1,758","3,117",58,"4,168,181","37,897","109,985,754"
19,Saudi Arabia,"339,615",348,"5,068",25,"325,839","8,708",842,"9,713",145,"7,060,483","201,937","34,963,754"
20,Turkey,"337,147",#ERROR!,"8,895",58,"295,658","32,594","1,417","3,986",105,"11,731,350","138,682","84,591,892"
21,Indonesia,"336,716",#ERROR!,"11,935",91,"258,519","66,262",,"1,227",44,"3,802,093","13,860","274,329,617"
22,Germany,"329,510",#ERROR!,"9,711",9,"276,900","42,899",590,"3,929",116,"18,129,900","216,194","83,859,444"
23,Pakistan,"319,317",385,"6,580",10,"304,185","8,552",491,"1,438",30,"3,884,796","17,494","222,070,579"
24,Israel,"293,553",#ERROR!,"2,016",36,"238,643","52,894",827,"31,916",219,"3,992,799","434,114","9,197,590"
25,Ukraine,"265,454",#ERROR!,"5,015",43,"114,410","146,029",177,"6,080",115,"2,602,635","59,613","43,658,728"
26,Canada,"182,708",844,"9,625",12,"154,238","18,845",154,"4,829",254,"8,047,974","212,714","37,834,630"
27,Netherlands,"181,498",#ERROR!,"6,596",12,N/A,N/A,277,"10,586",385,"2,656,731","154,951","17,145,573"
28,Belgium,"162,258",#ERROR!,"10,191",16,"20,272","131,795",243,"13,983",878,"3,705,273","319,315","11,603,814"
29,Romania,"157,352",#ERROR!,"5,467",56,"118,912","32,973",628,"8,195",285,"2,682,588","139,711","19,201,008"
30,Morocco,"153,761",#ERROR!,"2,636",31,"129,498","21,627",464,"4,152",71,"2,897,811","78,251","37,032,230"
31,Ecuador,"147,315",282,"12,218",27,"128,134","6,963",360,"8,315",690,"467,328","26,377","17,717,163"
32,Bolivia,"138,574",111,"8,308",16,"101,103","29,163",71,"11,827",709,"314,235","26,818","11,717,177"
33,Poland,"130,210",#ERROR!,"3,039",35,"81,201","45,970",404,"3,442",80,"3,693,108","97,611","37,834,855"
34,Qatar,"128,191",206,220,,"125,176","2,795",55,"45,655",78,"837,486","298,271","2,807,805"
35,Panama,"120,313",,"2,491",,"96,164","21,658",124,"27,763",575,"544,735","125,702","4,333,539"
36,Czechia,"119,007",#ERROR!,"1,045",58,"56,440","61,522",408,"11,107",98,"1,605,138","149,809","10,714,591"
37,Dominican Republic,"118,843",366,"2,179",6,"94,532","22,132",157,"10,925",200,"522,112","47,996","10,878,250"
38,Kuwait,"111,893",777,664,6,"103,802","7,427",139,"26,094",155,"788,705","183,931","4,288,053"
39,Nepal,"111,802",#ERROR!,645,9,"77,277","33,880",,"3,818",22,"1,191,514","40,692","29,281,110"
40,Kazakhstan,"108,831",74,"1,746",,"104,041","3,044",221,"5,777",93,"3,045,439","161,655","18,839,158"
41,United Arab Emirates,"107,293",#ERROR!,446,1,"98,555","8,292",,"10,812",45,"11,016,566","1,110,135","9,923,623"
42,Oman,"106,575",685,"1,046",8,"93,222","12,307",213,"20,727",203,"376,700","73,260","5,141,941"
43,Egypt,"104,516",,"6,052",,"97,688",776,41,"1,016",59,"135,000","1,312","102,865,105"
44,Sweden,"98,451",,"5,894",,N/A,N/A,25,"9,731",583,"1,789,328","176,865","10,116,932"
45,Guatemala,"97,826",111,"3,387",3,"87,016","7,423",5,"5,433",188,"363,714","20,199","18,006,746"
